index,instance,width_bound,heuristic,random_seed,tw,msss,score,log_likelihood,reasoning_time
279,sachs-5000,40,kg,3,6,2187.0,-36511.41,-7.162535736155533,0.01073397159576416
280,link-5000,40,kg,3,9,131072.0,-1640491.741,-318.4186667864346,1.66033536195755
281,insurance-5000,40,kg,3,13,7372800.0,-68053.141,-13.171643550104314,0.8210841012001038
282,hepar2-5000,40,kg,3,15,5308416.0,-164455.338,-32.65861765341525,10.309112503528596
283,hailfinder-5000,40,kg,3,10,2239488.0,-252394.788,-49.41166080995134,4.266549911499023
284,diabetes-5000,40,kg,3,7,20563200.0,-2269593.391,-406.12232481009886,33.272112932205204
285,child-5000,40,kg,3,6,1296.0,-62059.503,-12.226682146119426,0.014098680019378662
286,alarm-5000,40,kg,3,9,82944.0,-53781.339,-10.415376396591016,0.0330853533744812
287,water-5000,40,kg,2,6,6912.0,-65865.813,-12.946334057535678,0.0199251389503479
288,survey-5000,40,kg,2,3,24.0,-19710.916,-3.931762627574588,0.008093786239624024
289,sachs-5000,40,kg,2,5,729.0,-36511.41,-7.162536099798797,0.010863821506500244
290,mildew-5000,40,kg,2,4,92160.0,-262638.071,-48.76825478114104,0.09883547067642212
291,link-5000,40,kg,2,9,1048576.0,-1639652.537,-318.6468403929637,3.299761259555817
292,insurance-5000,40,kg,2,9,655360.0,-68053.141,-13.171643550104314,0.1770501661300659
